,dataset,split,conf. 1,conf. 2,conf. 3,conf. 4,conf. 5,conf. 6,conf. 7,conf. 8,conf. 9,conf. 10
0,PCA_075_HOG_256_32x32.csv,10-fold,0.6100333082104155,0.6066557575081314,0.6062099214604125,0.6062099214604125,0.6050230125786091,0.6050230125786091,0.6027515272430367,0.6023536865065516,0.6023536865065516,0.6019161089506593
1,PCA_075_HOG_256_32x32.csv,70/30,0.5759198026557497,0.6033333913255277,0.6333333333333333,0.6333333333333333,0.6245828698553948,0.6245828698553948,0.6069960281513483,0.5748819116421229,0.5748819116421229,0.595489218258588
2,PCA_075_HOG_256_32x32.csv,10-fold,0.6100333082104155,0.6066557575081314,0.6062099214604125,0.6062099214604125,0.6050230125786091,0.6050230125786091,0.6027515272430367,0.6023536865065516,0.6023536865065516,0.6019161089506593
3,PCA_075_HOG_256_32x32.csv,70/30,0.5759198026557497,0.6033333913255277,0.6333333333333333,0.6333333333333333,0.6245828698553948,0.6245828698553948,0.6069960281513483,0.5748819116421229,0.5748819116421229,0.595489218258588
4,PCA_075_HOG_128_16x16.csv,10-fold,0.6644256268746606,0.6405558895496644,0.638248598982367,0.638248598982367,0.6371342133371576,0.6357140192695445,0.632560716644667,0.6300129739170728,0.6300129739170728,0.6287322570801367
5,PCA_075_HOG_128_16x16.csv,70/30,0.6419482229047828,0.6248958043901084,0.6497336076383394,0.6497336076383394,0.6179079410066656,0.6240601503759399,0.5871487897690744,0.6248958043901084,0.6248958043901084,0.6036092421634591
6,PCA_090_HOG_256_32x32.csv,10-fold,0.5960603821734922,0.5958858003166121,0.5958858003166121,0.594508347836938,0.5926484438406844,0.5926484438406844,0.5917252792931154,0.5893498122409117,0.5893498122409117,0.5880016688346236
7,PCA_090_HOG_256_32x32.csv,70/30,0.5916383082158483,0.6404431746916591,0.6404431746916591,0.5869191049913942,0.5912124582869855,0.5912124582869855,0.5958263164291047,0.6455317891956699,0.6455317891956699,0.6193464052287582
8,PCA_090_HOG_256_32x32.csv,10-fold,0.5960603821734922,0.5958858003166121,0.5958858003166121,0.594508347836938,0.5926484438406844,0.5926484438406844,0.5917252792931154,0.5893498122409117,0.5893498122409117,0.5880016688346236
9,PCA_090_HOG_256_32x32.csv,70/30,0.5916383082158483,0.6404431746916591,0.6404431746916591,0.5869191049913942,0.5912124582869855,0.5912124582869855,0.5958263164291047,0.6455317891956699,0.6455317891956699,0.6193464052287582
10,HOG_256_32x32.csv,10-fold,0.6266459697264448,0.6218242070309657,0.6182164022112007,0.6149117598969116,0.614895125593195,0.6140965172646002,0.6140510455935524,0.6128404616309076,0.6127920394408352,0.6123115114050496
11,HOG_256_32x32.csv,70/30,0.6208267504644178,0.649610678531702,0.6286444479215563,0.6317091224206098,0.6499756927564415,0.645827184499731,0.6534386471580925,0.645827184499731,0.5997498436522827,0.6332314531814394
12,PCA_090_HOG_128_16x16.csv,10-fold,0.6544556967667148,0.6467454317222263,0.6467454317222263,0.6420797181114154,0.6328868252119768,0.6328868252119768,0.6223847993176316,0.617083982312849,0.617083982312849,0.6150707020156837
13,PCA_090_HOG_128_16x16.csv,70/30,0.6041048080429234,0.6123317412071212,0.6123317412071212,0.6248958043901084,0.6248958043901084,0.6248958043901084,0.5752658968653082,0.5707070707070707,0.5707070707070707,0.5851851851851853
14,PCA_075_HOG_128_32x32.csv,10-fold,0.6095284049243366,0.6095284049243366,0.6072183358230648,0.6060371820290519,0.6047675090667446,0.6046127540759125,0.6046127540759125,0.6011351579377557,0.6010682853200765,0.6010025621579459
15,PCA_075_HOG_128_32x32.csv,70/30,0.6208267504644178,0.6208267504644178,0.6333078686019862,0.6333078686019862,0.6333078686019862,0.590272454881193,0.590272454881193,0.6374433505235193,0.6333078686019862,0.6369895165075887
16,HOG_256_32x32.csv,10-fold,0.6266459697264448,0.6218242070309657,0.6182164022112007,0.6149117598969116,0.614895125593195,0.6140965172646002,0.6140510455935524,0.6128404616309076,0.6127920394408352,0.6123115114050496
17,HOG_256_32x32.csv,70/30,0.6208267504644178,0.649610678531702,0.6286444479215563,0.6317091224206098,0.6499756927564415,0.645827184499731,0.6534386471580925,0.645827184499731,0.5997498436522827,0.6332314531814394
18,PCA_075_HOG_128_16x16.csv,10-fold,0.6644256268746606,0.6405558895496644,0.638248598982367,0.638248598982367,0.6371342133371576,0.6357140192695445,0.632560716644667,0.6300129739170728,0.6300129739170728,0.6287322570801367
19,PCA_075_HOG_128_16x16.csv,70/30,0.6419482229047828,0.6248958043901084,0.6497336076383394,0.6497336076383394,0.6179079410066656,0.6240601503759399,0.5871487897690744,0.6248958043901084,0.6248958043901084,0.6036092421634591
20,PCA_090_HOG_128_32x32.csv,10-fold,0.5953020442307067,0.5953020442307067,0.5950470956619462,0.5950470956619462,0.5944382211678549,0.5944382211678549,0.5938000192522577,0.5938000192522577,0.5877752518901745,0.5877752518901745
21,PCA_090_HOG_128_32x32.csv,70/30,0.5552447552447553,0.5552447552447553,0.5484635217058045,0.5484635217058045,0.5822890559732665,0.5822890559732665,0.595489218258588,0.595489218258588,0.62838601924181,0.62838601924181
22,PCA_075_HOG_128_32x32.csv,10-fold,0.6095284049243366,0.6095284049243366,0.6072183358230648,0.6060371820290519,0.6047675090667446,0.6046127540759125,0.6046127540759125,0.6011351579377557,0.6010682853200765,0.6010025621579459
23,PCA_075_HOG_128_32x32.csv,70/30,0.6208267504644178,0.6208267504644178,0.6333078686019862,0.6333078686019862,0.6333078686019862,0.590272454881193,0.590272454881193,0.6374433505235193,0.6333078686019862,0.6369895165075887
