dataset,split,1k,2k,3k,4k,5k,6k,7k,8k,9k,10k,k_mean,k_std
PCA_075_HOG_256_32x32.csv,70/30,0.7167847550245438,0.6534052268532012,0.7292842668982488,0.7210243781447098,0.7208769538823012,0.7007664035970503,0.6833333333333333,0.6962669683257919,0.67468294892342,0.6872091512531594,0.698363438623576,0.0229310206632884
PCA_075_HOG_128_16x16.csv,10-fold,0.663130797635816,0.6555321390073763,0.6711040327772746,0.695736319406613,0.6727716980223262,0.6951342481292689,0.677606795516318,0.6918644486503887,0.68042261976409,0.7085639265031544,0.6811867025412626,0.0156198477975243
PCA_090_HOG_256_32x32.csv,10-fold,0.6882679726494552,0.6532164674940305,0.6888226814538545,0.6715193303241035,0.6895144097190143,0.6715578374861033,0.6870100673169262,0.6625115668592927,0.7013988894699836,0.6826713914660738,0.6796490614238837,0.013842240112088
HOG_256_32x32.csv,10-fold,0.6657891089692095,0.6268361681284909,0.6875882905662261,0.6598340537359212,0.6805368727586244,0.6622119062843205,0.690452123534636,0.6708183681573215,0.7012808819249613,0.6790783659686084,0.6724426140028319,0.0197114896934728
PCA_090_HOG_128_16x16.csv,10-fold,0.6609027405826683,0.6434896577005581,0.6733541257653329,0.6616109789171329,0.6565708429559459,0.6722568191227193,0.6627929942261772,0.6953738290307,0.6742465160905986,0.6925632593299937,0.6693161763721828,0.0150693372729147
PCA_075_HOG_128_32x32.csv,10-fold,0.6522625281403751,0.6356958175710046,0.6676073892133632,0.6714511919753556,0.6735862280859047,0.6876573973858627,0.6649321939474053,0.6833977584232244,0.6570220868302513,0.6972694692375816,0.6690882060810328,0.0171253881390552
PCA_090_HOG_128_32x32.csv,10-fold,0.6515642350615843,0.6408203594809692,0.6404055533999561,0.6563397215678158,0.6430799503576082,0.6584308179868993,0.6645285523600452,0.6766317722124023,0.6615843533016152,0.6766053320713523,0.6569990647800247,0.0126902555862048
HOG_128_16x16.csv,10-fold,0.6578851851631875,0.6079127973083904,0.6678730366236805,0.6429318782791118,0.6472202062954333,0.653291427610925,0.6536005614521022,0.6608406187403982,0.6591316716861292,0.6703966291597553,0.6521084012319114,0.0167538434867782
HOG_128_32x32.csv,70/30,0.66114363506672,0.664702581369248,0.630276696206769,0.6334862066569383,0.6053921568627452,0.6523661727406221,0.6202380952380953,0.6631701631701631,0.6003042061895182,0.6488554921749305,0.637993540567575,0.0225525482814907
LBP_256_6R.csv,70/30,0.5535859024460847,0.6036923943561222,0.6124259969791143,0.6111248907471711,0.6054920014880952,0.6109339736524432,0.6534515762830648,0.6333333333333333,0.6153333333333334,0.616506544138123,0.6115879946756886,0.0239347607169509
PCA_075_HOG_256_16x16.csv,10-fold,0.5918078457303553,0.510736310604699,0.593946313517208,0.5635543958940673,0.6115123829545075,0.5891341775987575,0.6471210635865815,0.6310691778761212,0.6682685161924086,0.6344909391540318,0.6041641123108736,0.0430269138950919
LBP_256_12R.csv,70/30,0.6001111188276963,0.5891175294096256,0.6125605479261793,0.5829166666666666,0.6125605479261793,0.6193009849717456,0.5909856854978807,0.5989943431803897,0.5790862977945219,0.5818764568764568,0.5967510179077341,0.0135679757559
