dataset,split,1k,2k,3k,4k,5k,6k,7k,8k,9k,10k,k_mean,k_std
PCA_075_HOG_256_32x32.csv,70/30,0.7167847550245438,0.6534052268532012,0.7292842668982488,0.7210243781447098,0.7208769538823012,0.7007664035970503,0.6833333333333333,0.6962669683257919,0.67468294892342,0.6872091512531594,0.698363438623576,0.022931020663288438
PCA_075_HOG_256_32x32.csv,10-fold,0.6913409615288126,0.6710946262638856,0.6911301581964133,0.6857344749197213,0.6980434349974588,0.6955709294358556,0.7080255770952644,0.7034048406257577,0.7184072832544499,0.7073489690791711,0.697010125539679,0.012631581247129037
PCA_075_HOG_128_16x16.csv,10-fold,0.663130797635816,0.6555321390073763,0.6711040327772746,0.695736319406613,0.6727716980223262,0.6951342481292689,0.677606795516318,0.6918644486503887,0.68042261976409,0.7085639265031544,0.6811867025412626,0.015619847797524341
PCA_090_HOG_256_32x32.csv,10-fold,0.6882679726494552,0.6532164674940305,0.6888226814538545,0.6715193303241035,0.6895144097190143,0.6715578374861033,0.6870100673169262,0.6625115668592927,0.7013988894699836,0.6826713914660738,0.6796490614238837,0.013842240112088029
PCA_090_HOG_256_32x32.csv,70/30,0.683465314439196,0.6471942281264316,0.70012503473187,0.6982003067101767,0.7167454579162033,0.6671770900494305,0.682803199404762,0.6415753277455406,0.6785004914705145,0.6441815856777494,0.6759968036271874,0.02438937440755987
HOG_256_32x32.csv,10-fold,0.6657891089692095,0.6268361681284909,0.6875882905662261,0.6598340537359212,0.6805368727586244,0.6622119062843205,0.690452123534636,0.6708183681573215,0.7012808819249613,0.6790783659686084,0.6724426140028319,0.019711489693472847
PCA_090_HOG_128_16x16.csv,10-fold,0.6609027405826683,0.6434896577005581,0.6733541257653329,0.6616109789171329,0.6565708429559459,0.6722568191227193,0.6627929942261772,0.6953738290307,0.6742465160905986,0.6925632593299937,0.6693161763721828,0.015069337272914707
PCA_075_HOG_128_32x32.csv,10-fold,0.6522625281403751,0.6356958175710046,0.6676073892133632,0.6714511919753556,0.6735862280859047,0.6876573973858627,0.6649321939474053,0.6833977584232244,0.6570220868302513,0.6972694692375816,0.6690882060810328,0.01712538813905524
HOG_256_32x32.csv,70/30,0.6496585603790678,0.644470980616789,0.6916666666666667,0.6567178525941413,0.7029710981647684,0.6620700961818713,0.6785004914705145,0.6548288596004936,0.6701498548853332,0.651859700358525,0.6662894160918171,0.01831712866108028
PCA_075_HOG_128_16x16.csv,70/30,0.641318190238029,0.6169642857142857,0.6246353153653793,0.6844663401398897,0.678949401816256,0.7062018363666174,0.6830253774196535,0.6949246434540552,0.6622714486638536,0.6663414860753024,0.6659098325253322,0.028266670121654017
PCA_090_HOG_128_32x32.csv,10-fold,0.6515642350615843,0.6408203594809692,0.6404055533999561,0.6563397215678158,0.6430799503576082,0.6584308179868993,0.6645285523600452,0.6766317722124023,0.6615843533016152,0.6766053320713523,0.6569990647800247,0.012690255586204843
PCA_075_HOG_128_32x32.csv,70/30,0.6232769423558897,0.6210317460317459,0.6442449581898672,0.6874401955496791,0.6357746000515306,0.6539324720876525,0.641685520361991,0.6905942028985507,0.6386316689222878,0.6982440248066337,0.6534856331255827,0.026941130295631437
